dir	example	argv	variant	status	exit	seconds	stdout_bytes	stdout_sha256
arkode/C_serial	ark_conserved_exp_entropy_ark	1 1	ark_conserved_exp_entropy_ark__1_1	OK	0	0.106	2209	94a28cd0e9dad9dd
arkode/C_serial	ark_conserved_exp_entropy_erk	1	ark_conserved_exp_entropy_erk__1	OK	0	0.106	2762	74e035658e515798
arkode/C_serial	ark_damped_harmonic_symplectic		ark_damped_harmonic_symplectic	OK	0	0.107	969	539892ab15d3dfc6
arkode/C_serial	ark_dissipated_exp_entropy	1 0	ark_dissipated_exp_entropy__1_0	OK	0	0.106	4236	ea014390bfd504ef
arkode/C_serial	ark_dissipated_exp_entropy	1 1	ark_dissipated_exp_entropy__1_1	OK	0	0.106	2938	e23448fe1d1f71b4
arkode/C_serial	ark_harmonic_symplectic		ark_harmonic_symplectic	OK	0	0.106	1258	f8f516d087bd0060
arkode/C_serial	ark_heat1D_adapt		ark_heat1D_adapt	OK	0	0.106	6365	3079e9727002e30d
arkode/C_serial	ark_heat1D		ark_heat1D	OK	0	0.106	867	44015a6f7329b04a
arkode/C_serial	ark_kepler	--stepper ERK --step-mode adapt	ark_kepler__--stepper_ERK_--step-mode_adapt	OK	0	0.106	5243	656a02715a941608
arkode/C_serial	ark_kepler	--stepper ERK --step-mode fixed --count-orbits	ark_kepler__--stepper_ERK_--step-mode_fixed_--count-orbits	OK	0	0.108	10534	83c82c7c1997a531
arkode/C_serial	ark_kepler	--stepper SPRK --step-mode fixed --count-orbits --use-compensated-sums	ark_kepler__--stepper_SPRK_--step-mode_fixed_--count-orbits_--use-compensated-sums	OK	0	0.106	10258	7c43e27798841662
arkode/C_serial	ark_kepler	--stepper SPRK --step-mode fixed --method ARKODE_SPRK_EULER_1_1 --tf 50 --check-order --nout 1	ark_kepler__--stepper_SPRK_--step-mode_fixed_--method_ARKODE_SPRK_EULER_1_1_--tf_50_--check-order_--nout_1	OK	0	1.807	8313	77482d66e06c1896
arkode/C_serial	ark_kepler	--stepper SPRK --step-mode fixed --method ARKODE_SPRK_LEAPFROG_2_2 --tf 50 --check-order --nout 1	ark_kepler__--stepper_SPRK_--step-mode_fixed_--method_ARKODE_SPRK_LEAPFROG_2_2_--tf_50_--check-order_--nout_1	OK	0	2.208	8312	30cc487f0b0205b5
arkode/C_serial	ark_kepler	--stepper SPRK --step-mode fixed --method ARKODE_SPRK_MCLACHLAN_2_2 --tf 50 --check-order --nout 1	ark_kepler__--stepper_SPRK_--step-mode_fixed_--method_ARKODE_SPRK_MCLACHLAN_2_2_--tf_50_--check-order_--nout_1	OK	0	2.708	8312	1a2e715629bf8310
